CONST               NAME  PS  RATING    RA2000
  Sco  V1084             p   10      173757.4 
  Sex  CV                p   10      101804.2 
  Sex  VY                p   10      105029.7 
  Sex  XX                p   10      101602.1 
  Sgr  RS                p   10      181736.2 
  Sgr  V0505             p   10      195306.4 
  Sgr  V0779             p   10      175537.1 
  Sgr  V2509             p   10      181549.9 
  Sgr  V3792             p   10      180854.0 
  Sgr  V3863             p   10      184012.3 
  Sgr  V4197             p   10      190557.9 
  Tel  GY                p   10      185540.0 
  Tel  QW                p   10      182209.9 
  Tel  V0343             p   10      195003.5 
  Tel  V0368             p   10      195349.9 
  TrA  EQ                p   10      161000.0 
  TrA  GN                p   10      154859.3 
  TrA  GQ                p   10      162120.0 
  TrA  HP                p   10      152606.5 
  TrA  MN_primary        p   10      155828.3 
  TrA  MN_secondary      s   10      155828.3 
  TrA  NT_primary        p   10      154051.2 
  TrA  NT_secondary      s   10      154051.2 
  TrA  V0336             p   10      155906.4 
  Tuc  AQ                p   10      1721.5   
  Tuc  CU                p   10      3713.4   
  Tuc  DX                p   10      235721.5 
  Tuc  EK                p   10      223851.8 
  Tuc  NSV14537          p   10      232415.6 
  Vel  BF                p   10      85627.0  
  Vel  BU                p   10      84006.3  
  Vel  DU                p   10      94542.1  
  Vel  FM                p   10      94742.3  
  Vel  QX                p   10      94856.5  
  Vel  TT                p   10      102016.5 
  Vel  V0362             p   10      110421.0 
  Vel  V0448             p   10      82455.5  
  Vir  HW                p   10      124420.2 
  Vol  AE                p   10      84539.4  
  Vol  AF                p   10      85334.9  
  Vol  W                 p   10      73740.1  
